,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,euclidean_dist,manhattan_dist,cosine_dist
3920,3CiOGu8nBPGfrJr4whAOZX,State Of Grace (Acoustic Version) (Taylor's Version),06HL4z0CvFAxyc27GXpf02,Taylor Swift,6x9s2ObPdpATZgrwxsk9c0,321640,2021-11-12,38,0.445,0.131,7.0,0.4287410440122824,1.0,0.0564,0.663,1.57e-06,0.108,0.101,0.9624920997617775,0.0,0.0,-2.220446049250313e-16
1137,3cysp2UU6xmV61ZlnQsa8s,Heaven,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,6L3gI00jSEv7LZB7bqt6rq,191813,2018-01-26,43,0.554,0.371,7.0,0.6201023541453428,0.0,0.0361,0.853,0.0,0.0838,0.246,0.9072268948417522,0.10900000000000014,0.10900000000000004,0.027636662139527868
2630,6SFeCisbYSqaQwL9hucoF2,You Decorated My Life,4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,3dJ7K3zS6Ux7OFAWcG8eWI,218133,1979-10-10,59,0.264,0.307,7.0,0.4867963152507676,1.0,0.0341,0.662,0.0,0.101,0.153,0.7414555885069763,0.18100000000000002,0.181,0.030654129870315794
2273,4AYtqFyFbX0Xkc2wtcygTr,Soon Youâ€™ll Get Better (feat. The Chicks),06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,201586,2019-08-23,66,0.433,0.182,0.0,0.47836233367451375,1.0,0.0641,0.907,0.0,0.123,0.421,0.9537289124410521,0.012000000000000219,0.01200000000000001,0.0340969960433557
2408,1gilgPrTkkZTp09Xf8zCmK,The Next Right Thing,2kHxkdiKCSnHMkhIgFBZaI,Kristen Bell,4M07HWIlZr7zoXoxDHR5mz,216773,2019-11-15,60,0.296,0.119,0.0,0.40917093142272254,0.0,0.0475,0.839,1.59e-05,0.385,0.146,0.7262081287374204,0.1489999999999999,0.14900000000000002,0.034612958829275176
1430,0STK94RxUulYqWzwFlyAb5,Sober,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,4N04d4lvre3E3IbXugDWcA,197893,2018-06-21,67,0.397,0.303,1.0,0.5665097236438075,1.0,0.11,0.798,4.16e-06,0.0824,0.17,0.7273202391949048,0.04800000000000001,0.04799999999999999,0.03516192146160857
1605,7aW2GrNlteWTwQZxX6LNjT,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""",0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,0v4UIlXB8pda8iP9vUdV25,219689,2018-08-17,54,0.264,0.273,7.0,0.6386489252814738,1.0,0.0312,0.535,0.0,0.207,0.315,0.9130183771695269,0.18100000000000002,0.181,0.03691246698031714
2858,6qCDsNEOnQ6uPG7m8gWUkW,"I Will Be Here (Original Soundtrack from the movie ""Through Night And Day"")",5ENj57ble0bsG2s6C0vVkc,Alessandra De Rossi,30WPMtVWCXnR94hFkxtNN9,254976,2018-11-07,1,0.426,0.203,9.0,0.2873285568065507,1.0,0.0313,0.902,0.0826,0.118,0.221,0.7510209538626088,0.019000000000000735,0.019000000000000017,0.0374291616289234
3890,135Lf4Q0CzlMNfOxbEUsLH,GHOST TOWN,22wbnEMDvgVIAGdFeek6ET,Benson Boone,4NTDxbwbo2rMGMm6U9UAEP,193733,2021-10-15,79,0.391,0.335,0.0,0.5807983623336744,1.0,0.0763,0.389,0.0,0.102,0.116,0.7514159657737373,0.05400000000000002,0.05399999999999999,0.03758524422130538
1968,4Bt8Ly7wwutPbX1dHXhuok,Rock with You,7aerdWadzubpu06Oxysg6R,Paolo Sandejas,1wnE0whHE4dsX8kqNWzLne,199934,2018-12-14,48,0.567,0.334,8.0,0.6725486182190378,1.0,0.0322,0.653,0.0,0.113,0.178,0.725363410958238,0.12200000000000026,0.12199999999999994,0.03772574850196464
