artist,album,track_number,id,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Angeline Quinto,@LoveAngelineQuinto,1,48pPpT5Xyli4tBCMiy4Zhs,"Para Bang, Para Lang",spotify:track:48pPpT5Xyli4tBCMiy4Zhs,248711,0.651,0.67,0.533,0.0,0.174,-5.851,0.0394,90.089,0.447,28
Angeline Quinto,@LoveAngelineQuinto,2,12fSfbtn43L2KO6kqqW0rj,'Di Na Tayo,spotify:track:12fSfbtn43L2KO6kqqW0rj,270132,0.292,0.71,0.657,1.48e-05,0.236,-5.509,0.047,139.965,0.425,28
Angeline Quinto,@LoveAngelineQuinto,3,6B2UndFWylp4Y93FwADGVb,At Ang Hirap,spotify:track:6B2UndFWylp4Y93FwADGVb,257567,0.843,0.434,0.357,1.69e-06,0.169,-8.532,0.0507,129.769,0.14,53
Angeline Quinto,@LoveAngelineQuinto,4,0Ba6MOshEq4QBV5qM4X0UZ,Parang Tayo Pero Hindi,spotify:track:0Ba6MOshEq4QBV5qM4X0UZ,226377,0.711,0.527,0.413,0.0,0.327,-7.574,0.032,127.282,0.236,19
Angeline Quinto,@LoveAngelineQuinto,5,3Lc6STDL8CQfAY4t8QVZjT,Awit Ng Pag-ibig,spotify:track:3Lc6STDL8CQfAY4t8QVZjT,249939,0.858,0.35,0.283,1.97e-06,0.0628,-8.12,0.0382,129.872,0.188,18
Angeline Quinto,@LoveAngelineQuinto,6,551gJb0O4V4IA8HtuLeXXD,Ang Pag-ibig Ko'y Ikaw,spotify:track:551gJb0O4V4IA8HtuLeXXD,273293,0.942,0.444,0.223,2.47e-05,0.123,-9.135,0.0341,76.461,0.255,18
Angeline Quinto,@LoveAngelineQuinto,7,3qXuyBLqetZRDInLJqpeL6,Paano Ba Ang Huwag Kang Mahalin,spotify:track:3qXuyBLqetZRDInLJqpeL6,229250,0.956,0.437,0.264,0.00229,0.0813,-9.822,0.04,126.997,0.322,18
Angeline Quinto,@LoveAngelineQuinto,8,3megxm4xWsConN0SIGHPqg,Nanghihinayang,spotify:track:3megxm4xWsConN0SIGHPqg,285596,0.741,0.593,0.234,3.37e-06,0.094,-8.807,0.0367,121.885,0.426,40
Angeline Quinto,@LoveAngelineQuinto,9,4VNXZHKy6HBKGosrWUnMxh,Kailangan Kita,spotify:track:4VNXZHKy6HBKGosrWUnMxh,264045,0.933,0.371,0.245,2.67e-05,0.0907,-8.253,0.0324,130.022,0.337,36
Angeline Quinto,@LoveAngelineQuinto,10,3JKbROtYB8oLkAo1nqNrg4,"Para Bang, Para Lang - Acoustic Remix",spotify:track:3JKbROtYB8oLkAo1nqNrg4,233116,0.684,0.641,0.541,1.08e-06,0.301,-7.19,0.0315,93.988,0.357,14
Angeline Quinto,Sana Bukas Pa Ang Kahapon,1,6VeOvyaMBynIqMSY5uZpfx,Gusto Kita,spotify:track:6VeOvyaMBynIqMSY5uZpfx,288000,0.594,0.461,0.474,0.0,0.0976,-7.479,0.0347,71.76,0.276,46
Angeline Quinto,Sana Bukas Pa Ang Kahapon,2,41DL92BdNCc5SVKb0K2mTW,Why Can't It Be,spotify:track:41DL92BdNCc5SVKb0K2mTW,227448,0.635,0.623,0.346,0.0033,0.0987,-8.524,0.0382,125.952,0.189,38
Angeline Quinto,Sana Bukas Pa Ang Kahapon,3,4cn755HC6F6BTjJ0GNEccv,Umiiyak Ang Puso,spotify:track:4cn755HC6F6BTjJ0GNEccv,291944,0.772,0.637,0.49,1.47e-06,0.0715,-7.508,0.0384,129.988,0.327,40
Angeline Quinto,Sana Bukas Pa Ang Kahapon,4,45rkTL4dqJo0ENnY2rkqTI,Someday,spotify:track:45rkTL4dqJo0ENnY2rkqTI,227892,0.263,0.646,0.493,1.09e-06,0.125,-7.314,0.0391,126.139,0.187,30
Angeline Quinto,Sana Bukas Pa Ang Kahapon,5,1Z4S3lmlIU5Cl5XRC2eynj,Wherever You Are,spotify:track:1Z4S3lmlIU5Cl5XRC2eynj,286275,0.907,0.561,0.3,7.84e-05,0.115,-9.397,0.0327,99.821,0.229,32
Angeline Quinto,Sana Bukas Pa Ang Kahapon,6,1WWyNkpStGdwTv0YFWNQiO,Hindi ko Kaya,spotify:track:1WWyNkpStGdwTv0YFWNQiO,304796,0.89,0.621,0.319,3.09e-05,0.089,-8.065,0.0309,109.944,0.256,41
Angeline Quinto,Sana Bukas Pa Ang Kahapon,7,3bSRa6ygplMrySCSBxJAzP,Muli,spotify:track:3bSRa6ygplMrySCSBxJAzP,277028,0.62,0.652,0.37,0.000653,0.111,-9.566,0.0387,126.049,0.229,36
Angeline Quinto,Sana Bukas Pa Ang Kahapon,8,2sEyQuRFRu3U5DGP1mcUOj,Forever,spotify:track:2sEyQuRFRu3U5DGP1mcUOj,241632,0.929,0.378,0.248,3.79e-06,0.093,-8.658,0.0371,117.765,0.334,38
Angeline Quinto,Sana Bukas Pa Ang Kahapon,9,3nq5RxPmKsFmiFFsuzuixx,Sana Bukas Pa Ang Kahapon,spotify:track:3nq5RxPmKsFmiFFsuzuixx,299911,0.935,0.371,0.277,0.000218,0.119,-8.192,0.0314,85.113,0.212,29
Angeline Quinto,Sana Bukas Pa Ang Kahapon,10,2rs03XVHMa2Ov6F93f0JbL,Gusto Kita - Minus One,spotify:track:2rs03XVHMa2Ov6F93f0JbL,287933,0.0831,0.519,0.391,0.111,0.107,-11.586,0.036,72.004,0.293,12
Angeline Quinto,Sana Bukas Pa Ang Kahapon,11,678mSaLBo6aedt4LN9dxjq,Why Can't It Be - Minus One,spotify:track:678mSaLBo6aedt4LN9dxjq,230160,0.165,0.674,0.299,0.826,0.348,-12.585,0.0444,126.052,0.108,11
Angeline Quinto,Sana Bukas Pa Ang Kahapon,12,35fmbNKcKzfNvabCmQZpTg,Umiiyak Ang Puso - Minus One,spotify:track:35fmbNKcKzfNvabCmQZpTg,291880,0.16,0.67,0.411,0.73,0.0837,-12.018,0.0372,130.018,0.281,11
Angeline Quinto,Sana Bukas Pa Ang Kahapon,13,0qpPzt4adwTbc2tMsDih8B,Someday - Minus One,spotify:track:0qpPzt4adwTbc2tMsDih8B,227826,0.0378,0.643,0.401,0.847,0.126,-13.652,0.0442,126.051,0.536,9
Angeline Quinto,Sana Bukas Pa Ang Kahapon,14,4yeCYkheyvyySY3t8iN1X0,Wherever You Are - Minus One,spotify:track:4yeCYkheyvyySY3t8iN1X0,286213,0.561,0.612,0.189,0.636,0.106,-15.791,0.0464,99.996,0.136,10
Angeline Quinto,Sana Bukas Pa Ang Kahapon,15,4fD6mqYsZwa5Pe4fSezqBE,Hindi ko Kaya - Minus One,spotify:track:4fD6mqYsZwa5Pe4fSezqBE,304733,0.325,0.689,0.261,0.518,0.0737,-13.597,0.0379,109.978,0.414,10
Angeline Quinto,Sana Bukas Pa Ang Kahapon,16,3Qyd7XFlNJx6z6715IeN4Q,Muli - Minus One,spotify:track:3Qyd7XFlNJx6z6715IeN4Q,276973,0.0657,0.652,0.303,0.845,0.114,-13.164,0.0585,125.995,0.123,10
Angeline Quinto,Sana Bukas Pa Ang Kahapon,17,5RPROZhTdIYdATG0fOw0fe,Forever - Minus One,spotify:track:5RPROZhTdIYdATG0fOw0fe,241560,0.983,0.626,0.132,0.852,0.0864,-15.39,0.0407,119.985,0.131,10
Angeline Quinto,Sana Bukas Pa Ang Kahapon,18,4f1jpdk3Lz2ogTq7uK8RKk,Sana Bukas Pa Ang Kahapon - Minus One,spotify:track:4f1jpdk3Lz2ogTq7uK8RKk,297840,0.94,0.234,0.116,0.915,0.117,-14.267,0.0336,133.925,0.0383,11
Angeline Quinto,Higher Love,1,3oqCi7Li3yKKMm3in1Ny0J,Higher Love,spotify:track:3oqCi7Li3yKKMm3in1Ny0J,194320,0.526,0.493,0.623,1.16e-05,0.124,-7.467,0.315,101.892,0.343,6
Angeline Quinto,Higher Love,2,19nYxNCw12L6PdqLzjYw5H,Sana2X,spotify:track:19nYxNCw12L6PdqLzjYw5H,205266,0.155,0.777,0.817,0.00169,0.227,-5.623,0.0411,125.019,0.811,28
Angeline Quinto,Higher Love,3,0VgMEQnht8sKayIaKb1fYW,Nag-iisa Lang,spotify:track:0VgMEQnht8sKayIaKb1fYW,271080,0.865,0.506,0.301,1.37e-05,0.112,-10.264,0.0338,78.1,0.185,40
Angeline Quinto,Higher Love,4,2TIjEsOaJsrcblTf3go6aX,Sino Ako Sa 'Yo,spotify:track:2TIjEsOaJsrcblTf3go6aX,242333,0.74,0.508,0.474,0.0,0.366,-7.342,0.0341,77.297,0.172,28
Angeline Quinto,Higher Love,5,22b8YlR2nWP5U6omMo7hjN,Ako Na Lang,spotify:track:22b8YlR2nWP5U6omMo7hjN,242413,0.852,0.606,0.262,9.47e-05,0.132,-9.177,0.0431,120.717,0.201,28
Angeline Quinto,Higher Love,6,5kS3zkUIEWman2GLGpjoX9,Ikaw Ang Aking Mundo,spotify:track:5kS3zkUIEWman2GLGpjoX9,285653,0.799,0.544,0.335,0.000138,0.0957,-10.369,0.0364,146.04,0.153,20
Angeline Quinto,Higher Love,7,53IGnOJ7k1aiJF0InqEdDn,Babalikang Muli - Adaptation of Namidaga Kimio Wasurenai,spotify:track:53IGnOJ7k1aiJF0InqEdDn,242146,0.912,0.411,0.261,1.27e-05,0.135,-11.764,0.0317,139.783,0.338,32
Angeline Quinto,Higher Love,8,5GnxlH9O1MeBHvGsXEaWCQ,Kung Sakali Man,spotify:track:5GnxlH9O1MeBHvGsXEaWCQ,221146,0.679,0.601,0.41,0.0,0.088,-8.098,0.0344,134.106,0.247,36
Angeline Quinto,Higher Love,9,21nkS7HVDi7ZUKNs0gAO2K,Bring Back the Times,spotify:track:21nkS7HVDi7ZUKNs0gAO2K,240786,0.865,0.621,0.42,0.00011,0.141,-7.464,0.0308,134.086,0.167,16
Angeline Quinto,Higher Love,10,3fb6lCKvTrd21hqlF9RyN4,Hanggang Kailan Kita Mamahalin,spotify:track:3fb6lCKvTrd21hqlF9RyN4,292626,0.87,0.397,0.285,6.99e-05,0.215,-9.806,0.0357,111.558,0.283,44
Angeline Quinto,Higher Love,11,3iA1XNInGznyM1M2dHufNa,Sana2X - Brian Cua Club Diva Mix,spotify:track:3iA1XNInGznyM1M2dHufNa,351693,0.00525,0.748,0.957,0.0093,0.325,-6.732,0.0985,127.999,0.66,5
Angeline Quinto,Higher Love,12,27mbIA9jwRGWbheAzmzN46,Higher Love - Brian Cua HigherDiva Mix,spotify:track:27mbIA9jwRGWbheAzmzN46,244186,0.123,0.349,0.849,0.107,0.562,-4.946,0.0399,204.064,0.557,5
Angeline Quinto,Higher Love,13,0f5SbdcScwaXMJzBB33FOT,Nag-iisa Lang - Minus One,spotify:track:0f5SbdcScwaXMJzBB33FOT,271080,0.402,0.523,0.279,0.711,0.113,-14.559,0.0309,77.995,0.11,5
Angeline Quinto,Higher Love,14,3RDDAoZkmERM9HokyLP0Ix,Sino Ako Sa 'Yo - Minus One,spotify:track:3RDDAoZkmERM9HokyLP0Ix,242333,0.298,0.547,0.349,0.775,0.364,-12.777,0.0268,77.032,0.202,4
Angeline Quinto,Higher Love,15,6nKvrVZUxRSGUVcHC96X32,Ikaw Ang Aking Mundo - Minus One,spotify:track:6nKvrVZUxRSGUVcHC96X32,285653,0.0619,0.564,0.234,0.911,0.103,-14.27,0.029,146.012,0.0686,4
Angeline Quinto,Higher Love,16,2i6oDLXFMbJNDnlgadMdgt,Babalikang Muli - Minus One,spotify:track:2i6oDLXFMbJNDnlgadMdgt,242146,0.748,0.444,0.208,0.718,0.14,-11.226,0.0269,70.001,0.185,5
Angeline Quinto,Higher Love,17,3tEKZtqpRXBedrlV9QR7pH,Kung Sakali Man - Minus One,spotify:track:3tEKZtqpRXBedrlV9QR7pH,221146,0.0194,0.571,0.391,0.824,0.0868,-11.972,0.0324,133.982,0.072,4
Angeline Quinto,Higher Love,18,2UI6Kz2FcoBUCA1WTUe0M7,Bring Back the Times - Minus One,spotify:track:2UI6Kz2FcoBUCA1WTUe0M7,238786,0.363,0.631,0.368,0.76,0.142,-8.858,0.0296,134.033,0.126,4
Angeline Quinto,Patuloy Ang Pangarap,1,2PJrY4qb0lqNZDgDxRVOyC,Patuloy Ang Pangarap,spotify:track:2PJrY4qb0lqNZDgDxRVOyC,240799,0.711,0.522,0.51,0.0,0.113,-6.285,0.0288,130.003,0.189,39
Angeline Quinto,Patuloy Ang Pangarap,2,6HAO91i2tXx1x2VOzB0sRQ,Muling Magmamahal,spotify:track:6HAO91i2tXx1x2VOzB0sRQ,263657,0.83,0.412,0.5,7.19e-06,0.101,-6.466,0.0305,143.88,0.229,32
Angeline Quinto,Patuloy Ang Pangarap,3,7fqIey8MmR87K4QdC8V4Zx,Panghabang Panahon,spotify:track:7fqIey8MmR87K4QdC8V4Zx,246024,0.853,0.571,0.398,1.57e-05,0.128,-6.723,0.0293,124.075,0.353,12
Angeline Quinto,Patuloy Ang Pangarap,4,0ZK52G9qvEHrGQE2nJ2UrM,Wag Mo Akong Iwan Mag Isa,spotify:track:0ZK52G9qvEHrGQE2nJ2UrM,269508,0.853,0.364,0.229,3.11e-05,0.141,-9.464,0.0332,134.369,0.334,32
Angeline Quinto,Patuloy Ang Pangarap,5,3MtaCTh4lY39FCSUda9X6E,Sana Ngayon Lang Ang Kahapon,spotify:track:3MtaCTh4lY39FCSUda9X6E,296492,0.843,0.367,0.437,1.58e-05,0.125,-5.508,0.0289,142.382,0.171,30
Angeline Quinto,Patuloy Ang Pangarap,6,1hX8lHhrpDYcDdQSmt5DS7,Patuloy Ang Pangarap - Alternate Version,spotify:track:1hX8lHhrpDYcDdQSmt5DS7,250439,0.617,0.545,0.522,0.0,0.158,-5.407,0.0267,130.005,0.301,25
Angeline Quinto,Patuloy Ang Pangarap,7,18A4fQkJY7QOLhPiw7iMOe,Patuloy Ang Pangarap - Brian Cua Club Diva Radio Edit,spotify:track:18A4fQkJY7QOLhPiw7iMOe,235026,0.00893,0.626,0.861,0.0,0.0511,-1.433,0.0308,127.957,0.342,6
Angeline Quinto,Patuloy Ang Pangarap,8,5wZO4WUWcbIrrH92ihxUBq,Patuloy Ang Pangarap - Brian Cua Club Diva Extended Remix,spotify:track:5wZO4WUWcbIrrH92ihxUBq,332045,0.000973,0.658,0.838,0.000106,0.235,-1.3,0.0318,128.0,0.297,5
Angeline Quinto,Patuloy Ang Pangarap,9,0bFeW4ideKLvloYFVgtgLZ,Kunin Mo Na Ang Lahat Sa Akin,spotify:track:0bFeW4ideKLvloYFVgtgLZ,278755,0.942,0.394,0.238,0.00016,0.0921,-9.817,0.0375,128.322,0.21,49
Angeline Quinto,Patuloy Ang Pangarap,10,7FuTRp1ui5srFrustlwjCz,You're My Home,spotify:track:7FuTRp1ui5srFrustlwjCz,243568,0.902,0.227,0.309,0.000165,0.0825,-7.299,0.0379,138.78,0.191,29
Angeline Quinto,Patuloy Ang Pangarap,11,2H4YtuDWSPgUQuMQDUQO6U,Ngayon,spotify:track:2H4YtuDWSPgUQuMQDUQO6U,323817,0.784,0.254,0.479,9.04e-05,0.23,-5.885,0.0319,76.381,0.154,19
Angeline Quinto,Patuloy Ang Pangarap,12,4QfTYYGVwqoFNuXhl5xMzA,Mahiwaga,spotify:track:4QfTYYGVwqoFNuXhl5xMzA,181423,0.953,0.201,0.208,0.000973,0.121,-12.831,0.0413,77.982,0.155,23
Angeline Quinto,Patuloy Ang Pangarap,13,5jD5rNXNFkGmjALNobYwld,Patuloy Ang Pangarap - Minus One,spotify:track:5jD5rNXNFkGmjALNobYwld,240799,0.402,0.498,0.38,0.434,0.113,-10.052,0.027,130.058,0.114,6
Angeline Quinto,Patuloy Ang Pangarap,14,3OhPjfiFio0v7xd4ddRi9O,Muling Magmamahal - Minus One,spotify:track:3OhPjfiFio0v7xd4ddRi9O,266034,0.0736,0.58,0.356,0.691,0.101,-11.532,0.0334,144.032,0.0896,4
Angeline Quinto,Patuloy Ang Pangarap,15,28pAw8Q4BKR9i5Q552ySy5,Panghabang Panahon - Minus One,spotify:track:28pAw8Q4BKR9i5Q552ySy5,247931,0.77,0.581,0.314,0.762,0.131,-11.737,0.0287,124.009,0.0984,4
Angeline Quinto,Patuloy Ang Pangarap,16,07yaZ2hdTQ0ncPd9QULj45,Wag Mo Akong Iwan Mag Isa - Minus One,spotify:track:07yaZ2hdTQ0ncPd9QULj45,270135,0.382,0.358,0.121,0.262,0.15,-14.927,0.0316,135.657,0.111,4
Angeline Quinto,Patuloy Ang Pangarap,17,6VMpDxaR3bJZNqT5VfzQJ3,Sana Ngayon Lang Ang Kahapon - Minus One,spotify:track:6VMpDxaR3bJZNqT5VfzQJ3,296545,0.365,0.521,0.278,0.902,0.131,-10.619,0.0278,141.987,0.133,4
Angeline Quinto,Patuloy Ang Pangarap,18,3cFtgFHnRRkdbRIJdYOUBC,Patuloy Ang Pangarap - Alternate Version of Minus One,spotify:track:3cFtgFHnRRkdbRIJdYOUBC,249603,0.0894,0.599,0.425,0.673,0.161,-10.025,0.0316,130.015,0.211,4
Jona,Shockwave,1,2N85JtbjMKeqNUgz7PqHFD,Fairytale,spotify:track:2N85JtbjMKeqNUgz7PqHFD,155586,0.000253,0.56,0.919,0.957,0.346,-4.344,0.0325,144.964,0.568,45
Jona,Shockwave,2,1bW2JNdrpTOUew8G7UeUhP,Supernovacane,spotify:track:1bW2JNdrpTOUew8G7UeUhP,179955,0.000845,0.514,0.926,0.0345,0.0891,-3.188,0.0317,151.921,0.556,47
Jona,Shockwave,3,0ckNlWYwtIlbl44kQefHuo,Jiggle It,spotify:track:0ckNlWYwtIlbl44kQefHuo,170820,0.00107,0.622,0.81,0.806,0.16,-4.355,0.0457,169.96,0.637,48
Jona,Shockwave,4,4WrPZ198RawgV8uMVwkYWU,Back It Up,spotify:track:4WrPZ198RawgV8uMVwkYWU,160016,0.00663,0.754,0.865,0.000114,0.361,-3.696,0.0478,134.952,0.411,40
Jona,Shockwave,5,4YT2CvoawmCGIHkMccm6qk,VIBR8,spotify:track:4YT2CvoawmCGIHkMccm6qk,179903,0.005,0.508,0.915,0.336,0.0892,-3.396,0.0689,114.644,0.171,51
Jona,Shockwave,6,2OYfxjLnQuPo7Co1WH0Z1S,Bad Bitches (feat. Megan Thee Stallion),spotify:track:2OYfxjLnQuPo7Co1WH0Z1S,152414,0.00033,0.819,0.814,0.328,0.0644,-3.44,0.0382,125.965,0.464,51
Jona,Shockwave,7,23YTJTopRwkkeX6QGsEaKc,Back In Time,spotify:track:23YTJTopRwkkeX6QGsEaKc,160877,0.0108,0.783,0.824,0.000795,0.0748,-4.558,0.0598,139.998,0.413,44
Jona,Shockwave,8,244AoGCbxOWUhaRzTR7Spz,Hitta (feat. Juicy J),spotify:track:244AoGCbxOWUhaRzTR7Spz,170807,0.017,0.732,0.956,6.99e-06,0.357,-2.775,0.0708,145.103,0.375,59
Jona,Shockwave,9,3LuKDSqL4z1BL8HjSwxh5b,House Party,spotify:track:3LuKDSqL4z1BL8HjSwxh5b,205126,0.0331,0.726,0.876,0.00569,0.0658,-4.204,0.16,75.026,0.569,46
Jona,Shockwave,10,6Q7mn0KjoCZGYeuWR8pAmZ,Candy Kid,spotify:track:6Q7mn0KjoCZGYeuWR8pAmZ,129701,3.78e-05,0.61,0.979,0.584,0.114,-3.459,0.0627,150.053,0.423,40
Jona,Shockwave,11,4cLFnU75cTHlBOMrUJcRHr,Pushin Stacks,spotify:track:4cLFnU75cTHlBOMrUJcRHr,214517,0.000655,0.622,0.902,0.523,0.22,-4.539,0.117,140.024,0.496,38
Jona,Shockwave,12,3sOGVdj5VPY6C2XImtlzj7,Shockwave,spotify:track:3sOGVdj5VPY6C2XImtlzj7,181283,0.0231,0.577,0.875,4.69e-06,0.111,-2.897,0.0681,164.009,0.411,69
Jona,Shockwave,1,05SFs7wMaSME4TPh5bdwUH,Fairytale,spotify:track:05SFs7wMaSME4TPh5bdwUH,155586,0.000253,0.56,0.919,0.957,0.346,-4.344,0.0325,144.964,0.568,15
Jona,Shockwave,2,42wOmg6p5O5W80aJFiI0bZ,Supernovacane,spotify:track:42wOmg6p5O5W80aJFiI0bZ,179955,0.000845,0.514,0.926,0.0345,0.0891,-3.188,0.0317,151.921,0.556,17
Jona,Shockwave,3,2AWl31TNxjbhxVtU3TevV6,Jiggle It,spotify:track:2AWl31TNxjbhxVtU3TevV6,170820,0.00107,0.622,0.81,0.806,0.16,-4.355,0.0457,169.96,0.637,16
Jona,Shockwave,4,01J2CVDZemwjPUyCNAFMW4,Back It Up,spotify:track:01J2CVDZemwjPUyCNAFMW4,160016,0.00663,0.754,0.865,0.000114,0.361,-3.696,0.0478,134.952,0.411,13
Jona,Shockwave,5,5VGOUUiAmP5MouYfeYjIQL,Vibr8,spotify:track:5VGOUUiAmP5MouYfeYjIQL,179903,0.005,0.508,0.915,0.336,0.0892,-3.396,0.0689,114.644,0.171,22
Jona,Shockwave,6,49Fl19I0CvpN5D9ritbTt3,Bad Bitches (feat. Megan Thee Stallion),spotify:track:49Fl19I0CvpN5D9ritbTt3,152414,0.00033,0.819,0.814,0.328,0.0644,-3.44,0.0382,125.965,0.464,29
